Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,AST,AS,HST,HS,Hg,Ag
2012-08-18,Arsenal,Sunderland,0.0,0.0,D,2012,2.0,3.0,4.0,14.0,0,14
2012-08-18,Fulham,Norwich,5.0,0.0,H,2012,2.0,4.0,9.0,11.0,4,9
2012-08-18,Newcastle,Tottenham,2.0,1.0,H,2012,6.0,12.0,4.0,6.0,8,16
2012-08-18,QPR,Swansea,0.0,5.0,A,2012,8.0,12.0,11.0,20.0,10,15
2012-08-18,Reading,Stoke,1.0,1.0,D,2012,3.0,6.0,3.0,9.0,11,13
2012-08-18,West Brom,Liverpool,3.0,0.0,H,2012,7.0,14.0,10.0,15.0,17,5
2012-08-18,West Ham,Aston Villa,1.0,0.0,H,2012,6.0,10.0,4.0,8.0,18,1
2012-08-19,Man City,Southampton,3.0,2.0,H,2012,6.0,9.0,15.0,20.0,6,12
2012-08-19,Wigan,Chelsea,0.0,2.0,A,2012,3.0,5.0,4.0,12.0,19,2
2012-08-20,Everton,Man United,1.0,0.0,H,2012,7.0,12.0,7.0,16.0,3,7
2012-08-22,Chelsea,Reading,4.0,2.0,H,2012,5.0,7.0,11.0,23.0,2,11
2012-08-25,Aston Villa,Everton,1.0,3.0,A,2012,11.0,19.0,3.0,7.0,1,3
2012-08-25,Chelsea,Newcastle,2.0,0.0,H,2012,5.0,11.0,6.0,11.0,2,8
2012-08-25,Man United,Fulham,3.0,2.0,H,2012,11.0,14.0,11.0,20.0,7,4
2012-08-25,Norwich,QPR,1.0,1.0,D,2012,4.0,6.0,4.0,13.0,9,10
2012-08-25,Southampton,Wigan,0.0,2.0,A,2012,8.0,12.0,9.0,14.0,12,19
2012-08-25,Swansea,West Ham,3.0,0.0,H,2012,6.0,7.0,7.0,10.0,15,18
2012-08-25,Tottenham,West Brom,1.0,1.0,D,2012,5.0,10.0,10.0,18.0,16,17
2012-08-26,Liverpool,Man City,2.0,2.0,D,2012,5.0,11.0,8.0,15.0,5,6
2012-08-26,Stoke,Arsenal,0.0,0.0,D,2012,6.0,16.0,4.0,7.0,13,0
2012-09-01,Man City,QPR,3.0,1.0,H,2012,5.0,9.0,12.0,19.0,6,10
2012-09-01,Swansea,Sunderland,2.0,2.0,D,2012,3.0,4.0,10.0,14.0,15,14
2012-09-01,Tottenham,Norwich,1.0,1.0,D,2012,4.0,10.0,9.0,15.0,16,9
2012-09-01,West Brom,Everton,2.0,0.0,H,2012,5.0,12.0,8.0,14.0,17,3
2012-09-01,West Ham,Fulham,3.0,0.0,H,2012,13.0,14.0,12.0,17.0,18,4
2012-09-01,Wigan,Stoke,2.0,2.0,D,2012,8.0,16.0,5.0,9.0,19,13
2012-09-02,Liverpool,Arsenal,0.0,2.0,A,2012,7.0,11.0,8.0,17.0,5,0
2012-09-02,Newcastle,Aston Villa,1.0,1.0,D,2012,9.0,13.0,6.0,16.0,8,1
2012-09-02,Southampton,Man United,2.0,3.0,A,2012,9.0,18.0,8.0,15.0,12,7
2012-09-15,Arsenal,Southampton,6.0,1.0,H,2012,4.0,9.0,12.0,20.0,0,12
2012-09-15,Aston Villa,Swansea,2.0,0.0,H,2012,5.0,10.0,13.0,17.0,1,15
2012-09-15,Fulham,West Brom,3.0,0.0,H,2012,8.0,10.0,14.0,23.0,4,17
2012-09-15,Man United,Wigan,4.0,0.0,H,2012,4.0,8.0,10.0,17.0,7,19
2012-09-15,Norwich,West Ham,0.0,0.0,D,2012,4.0,9.0,14.0,20.0,9,18
2012-09-15,QPR,Chelsea,0.0,0.0,D,2012,9.0,13.0,6.0,10.0,10,2
2012-09-15,Stoke,Man City,1.0,1.0,D,2012,11.0,15.0,3.0,4.0,13,6
2012-09-15,Sunderland,Liverpool,1.0,1.0,D,2012,9.0,20.0,4.0,6.0,14,5
2012-09-16,Reading,Tottenham,1.0,3.0,A,2012,11.0,22.0,2.0,4.0,11,16
2012-09-17,Everton,Newcastle,2.0,2.0,D,2012,7.0,11.0,10.0,17.0,3,8
2012-09-22,Chelsea,Stoke,1.0,0.0,H,2012,6.0,13.0,9.0,17.0,2,13
2012-09-22,Southampton,Aston Villa,4.0,1.0,H,2012,2.0,8.0,4.0,12.0,12,1
2012-09-22,Swansea,Everton,0.0,3.0,A,2012,19.0,30.0,11.0,18.0,15,3
2012-09-22,West Brom,Reading,1.0,0.0,H,2012,1.0,8.0,4.0,9.0,17,11
2012-09-22,West Ham,Sunderland,1.0,1.0,D,2012,2.0,4.0,11.0,20.0,18,14
2012-09-22,Wigan,Fulham,1.0,2.0,A,2012,9.0,12.0,9.0,18.0,19,4
2012-09-23,Liverpool,Man United,1.0,2.0,A,2012,4.0,8.0,8.0,13.0,5,7
2012-09-23,Man City,Arsenal,1.0,1.0,D,2012,4.0,10.0,10.0,14.0,6,0
2012-09-23,Newcastle,Norwich,1.0,0.0,H,2012,3.0,8.0,8.0,16.0,8,9
2012-09-23,Tottenham,QPR,2.0,1.0,H,2012,6.0,9.0,14.0,18.0,16,10
2012-09-29,Arsenal,Chelsea,1.0,2.0,A,2012,5.0,10.0,5.0,14.0,0,2
2012-09-29,Everton,Southampton,3.0,1.0,H,2012,2.0,8.0,9.0,17.0,3,12
2012-09-29,Fulham,Man City,1.0,2.0,A,2012,12.0,21.0,3.0,7.0,4,6
2012-09-29,Man United,Tottenham,2.0,3.0,A,2012,6.0,10.0,8.0,15.0,7,16
2012-09-29,Norwich,Liverpool,2.0,5.0,A,2012,6.0,10.0,7.0,10.0,9,5
2012-09-29,Reading,Newcastle,2.0,2.0,D,2012,3.0,8.0,7.0,14.0,11,8
2012-09-29,Stoke,Swansea,2.0,0.0,H,2012,0.0,8.0,5.0,10.0,13,15
2012-09-29,Sunderland,Wigan,1.0,0.0,H,2012,3.0,8.0,6.0,11.0,14,19
2012-09-30,Aston Villa,West Brom,1.0,1.0,D,2012,7.0,14.0,8.0,19.0,1,17
2012-10-01,QPR,West Ham,1.0,2.0,A,2012,10.0,17.0,9.0,13.0,10,18
2012-10-06,Chelsea,Norwich,4.0,1.0,H,2012,4.0,7.0,13.0,20.0,2,9
2012-10-06,Man City,Sunderland,3.0,0.0,H,2012,6.0,8.0,16.0,26.0,6,14
2012-10-06,Swansea,Reading,2.0,2.0,D,2012,6.0,8.0,16.0,25.0,15,11
2012-10-06,West Brom,QPR,3.0,2.0,H,2012,6.0,13.0,8.0,13.0,17,10
2012-10-06,West Ham,Arsenal,1.0,3.0,A,2012,14.0,20.0,3.0,7.0,18,0
2012-10-06,Wigan,Everton,2.0,2.0,D,2012,11.0,16.0,6.0,10.0,19,3
2012-10-07,Liverpool,Stoke,0.0,0.0,D,2012,3.0,5.0,5.0,16.0,5,13
2012-10-07,Newcastle,Man United,0.0,3.0,A,2012,9.0,12.0,3.0,13.0,8,7
2012-10-07,Southampton,Fulham,2.0,2.0,D,2012,5.0,14.0,6.0,13.0,12,4
2012-10-07,Tottenham,Aston Villa,2.0,0.0,H,2012,5.0,8.0,10.0,23.0,16,1
2012-10-20,Fulham,Aston Villa,1.0,0.0,H,2012,4.0,9.0,8.0,17.0,4,1
2012-10-20,Liverpool,Reading,1.0,0.0,H,2012,5.0,8.0,13.0,23.0,5,11
2012-10-20,Man United,Stoke,4.0,2.0,H,2012,6.0,8.0,8.0,13.0,7,13
2012-10-20,Norwich,Arsenal,1.0,0.0,H,2012,7.0,13.0,3.0,7.0,9,0
2012-10-20,Swansea,Wigan,2.0,1.0,H,2012,7.0,10.0,11.0,18.0,15,19
2012-10-20,Tottenham,Chelsea,2.0,4.0,A,2012,7.0,11.0,16.0,23.0,16,2
2012-10-20,West Brom,Man City,1.0,2.0,A,2012,13.0,21.0,8.0,16.0,17,6
2012-10-20,West Ham,Southampton,4.0,1.0,H,2012,4.0,11.0,8.0,9.0,18,12
2012-10-21,QPR,Everton,1.0,1.0,D,2012,4.0,10.0,6.0,14.0,10,3
2012-10-21,Sunderland,Newcastle,1.0,1.0,D,2012,7.0,10.0,6.0,16.0,14,8
2012-10-27,Arsenal,QPR,1.0,0.0,H,2012,3.0,4.0,11.0,21.0,0,10
2012-10-27,Aston Villa,Norwich,1.0,1.0,D,2012,6.0,14.0,5.0,7.0,1,9
2012-10-27,Man City,Swansea,1.0,0.0,H,2012,5.0,9.0,5.0,10.0,6,15
2012-10-27,Reading,Fulham,3.0,3.0,D,2012,8.0,16.0,9.0,15.0,11,4
2012-10-27,Stoke,Sunderland,0.0,0.0,D,2012,3.0,6.0,6.0,11.0,13,14
2012-10-27,Wigan,West Ham,2.0,1.0,H,2012,11.0,15.0,13.0,17.0,19,18
2012-10-28,Chelsea,Man United,2.0,3.0,A,2012,7.0,15.0,11.0,14.0,2,7
2012-10-28,Everton,Liverpool,2.0,2.0,D,2012,5.0,12.0,8.0,17.0,3,5
2012-10-28,Newcastle,West Brom,2.0,1.0,H,2012,4.0,8.0,6.0,10.0,8,17
2012-10-28,Southampton,Tottenham,1.0,2.0,A,2012,4.0,11.0,6.0,11.0,12,16
2012-11-03,Fulham,Everton,2.0,2.0,D,2012,15.0,26.0,5.0,8.0,4,3
2012-11-03,Man United,Arsenal,2.0,1.0,H,2012,3.0,7.0,7.0,11.0,7,0
2012-11-03,Norwich,Stoke,1.0,0.0,H,2012,3.0,8.0,8.0,12.0,9,13
2012-11-03,Sunderland,Aston Villa,0.0,1.0,A,2012,6.0,9.0,1.0,11.0,14,1
2012-11-03,Swansea,Chelsea,1.0,1.0,D,2012,7.0,11.0,7.0,9.0,15,2
2012-11-03,Tottenham,Wigan,0.0,1.0,A,2012,4.0,7.0,10.0,13.0,16,19
2012-11-03,West Ham,Man City,0.0,0.0,D,2012,8.0,18.0,1.0,6.0,18,6
2012-11-04,Liverpool,Newcastle,1.0,1.0,D,2012,3.0,10.0,12.0,20.0,5,8
2012-11-04,QPR,Reading,1.0,1.0,D,2012,8.0,18.0,12.0,23.0,10,11
2012-11-05,West Brom,Southampton,2.0,0.0,H,2012,5.0,9.0,6.0,16.0,17,12
2012-11-10,Arsenal,Fulham,3.0,3.0,D,2012,5.0,9.0,9.0,15.0,0,4
2012-11-10,Aston Villa,Man United,2.0,3.0,A,2012,7.0,16.0,7.0,10.0,1,7
2012-11-10,Everton,Sunderland,2.0,1.0,H,2012,4.0,6.0,10.0,16.0,3,14
2012-11-10,Reading,Norwich,0.0,0.0,D,2012,3.0,10.0,3.0,7.0,11,9
2012-11-10,Southampton,Swansea,1.0,1.0,D,2012,3.0,5.0,5.0,11.0,12,15
2012-11-10,Stoke,QPR,1.0,0.0,H,2012,8.0,17.0,5.0,10.0,13,10
2012-11-10,Wigan,West Brom,1.0,2.0,A,2012,4.0,7.0,6.0,14.0,19,17
2012-11-11,Chelsea,Liverpool,1.0,1.0,D,2012,5.0,9.0,3.0,12.0,2,5
2012-11-11,Man City,Tottenham,2.0,1.0,H,2012,2.0,6.0,8.0,16.0,6,16
2012-11-11,Newcastle,West Ham,0.0,1.0,A,2012,5.0,10.0,9.0,14.0,8,18
2012-11-17,Arsenal,Tottenham,5.0,2.0,H,2012,4.0,6.0,10.0,13.0,0,16
2012-11-17,Liverpool,Wigan,3.0,0.0,H,2012,3.0,9.0,11.0,22.0,5,19
2012-11-17,Man City,Aston Villa,5.0,0.0,H,2012,8.0,10.0,8.0,21.0,6,1
2012-11-17,Newcastle,Swansea,1.0,2.0,A,2012,9.0,15.0,10.0,27.0,8,15
2012-11-17,Norwich,Man United,1.0,0.0,H,2012,9.0,12.0,5.0,10.0,9,7
2012-11-17,QPR,Southampton,1.0,3.0,A,2012,15.0,21.0,7.0,13.0,10,12
2012-11-17,Reading,Everton,2.0,1.0,H,2012,11.0,21.0,4.0,12.0,11,3
2012-11-17,West Brom,Chelsea,2.0,1.0,H,2012,12.0,19.0,6.0,8.0,17,2
2012-11-18,Fulham,Sunderland,1.0,3.0,A,2012,9.0,12.0,13.0,18.0,4,14
2012-11-19,West Ham,Stoke,1.0,1.0,D,2012,6.0,12.0,11.0,16.0,18,13
2012-11-24,Aston Villa,Arsenal,0.0,0.0,D,2012,6.0,13.0,8.0,10.0,1,0
2012-11-24,Everton,Norwich,1.0,1.0,D,2012,4.0,8.0,9.0,14.0,3,9
2012-11-24,Man United,QPR,3.0,1.0,H,2012,6.0,10.0,10.0,15.0,7,10
2012-11-24,Stoke,Fulham,1.0,0.0,H,2012,5.0,8.0,3.0,12.0,13,4
2012-11-24,Sunderland,West Brom,2.0,4.0,A,2012,6.0,11.0,12.0,19.0,14,17
2012-11-24,Wigan,Reading,3.0,2.0,H,2012,10.0,16.0,11.0,19.0,19,11
2012-11-25,Chelsea,Man City,0.0,0.0,D,2012,7.0,11.0,1.0,5.0,2,6
2012-11-25,Southampton,Newcastle,2.0,0.0,H,2012,3.0,8.0,10.0,17.0,12,8
2012-11-25,Swansea,Liverpool,0.0,0.0,D,2012,14.0,21.0,8.0,17.0,15,5
2012-11-25,Tottenham,West Ham,3.0,1.0,H,2012,6.0,10.0,13.0,25.0,16,18
2012-11-27,Aston Villa,Reading,1.0,0.0,H,2012,6.0,11.0,7.0,15.0,1,11
2012-11-27,Sunderland,QPR,0.0,0.0,D,2012,9.0,13.0,8.0,13.0,14,10
2012-11-28,Chelsea,Fulham,0.0,0.0,D,2012,7.0,8.0,13.0,17.0,2,4
2012-11-28,Everton,Arsenal,1.0,1.0,D,2012,9.0,12.0,10.0,14.0,3,0
2012-11-28,Man United,West Ham,1.0,0.0,H,2012,3.0,9.0,13.0,23.0,7,18
2012-11-28,Southampton,Norwich,1.0,1.0,D,2012,5.0,9.0,2.0,8.0,12,9
2012-11-28,Stoke,Newcastle,2.0,1.0,H,2012,6.0,7.0,5.0,11.0,13,8
2012-11-28,Swansea,West Brom,3.0,1.0,H,2012,2.0,6.0,8.0,13.0,15,17
2012-11-28,Tottenham,Liverpool,2.0,1.0,H,2012,9.0,14.0,7.0,14.0,16,5
2012-11-28,Wigan,Man City,0.0,2.0,A,2012,6.0,15.0,4.0,9.0,19,6
2012-12-01,Arsenal,Swansea,0.0,2.0,A,2012,10.0,12.0,8.0,10.0,0,15
2012-12-01,Fulham,Tottenham,0.0,3.0,A,2012,6.0,10.0,2.0,8.0,4,16
2012-12-01,Liverpool,Southampton,1.0,0.0,H,2012,4.0,8.0,11.0,24.0,5,12
2012-12-01,Man City,Everton,1.0,1.0,D,2012,5.0,8.0,6.0,9.0,6,3
2012-12-01,QPR,Aston Villa,1.0,1.0,D,2012,3.0,7.0,12.0,17.0,10,1
2012-12-01,Reading,Man United,3.0,4.0,A,2012,5.0,10.0,7.0,10.0,11,7
2012-12-01,West Brom,Stoke,0.0,1.0,A,2012,4.0,6.0,11.0,14.0,17,13
2012-12-01,West Ham,Chelsea,3.0,1.0,H,2012,9.0,16.0,13.0,16.0,18,2
2012-12-02,Norwich,Sunderland,2.0,1.0,H,2012,6.0,16.0,5.0,7.0,9,14
2012-12-03,Newcastle,Wigan,3.0,0.0,H,2012,4.0,9.0,8.0,16.0,8,19
2012-12-08,Arsenal,West Brom,2.0,0.0,H,2012,2.0,7.0,7.0,16.0,0,17
2012-12-08,Aston Villa,Stoke,0.0,0.0,D,2012,0.0,1.0,5.0,9.0,1,13
2012-12-08,Southampton,Reading,1.0,0.0,H,2012,2.0,6.0,9.0,18.0,12,11
2012-12-08,Sunderland,Chelsea,1.0,3.0,A,2012,5.0,11.0,10.0,14.0,14,2
2012-12-08,Swansea,Norwich,3.0,4.0,A,2012,8.0,10.0,10.0,21.0,15,9
2012-12-08,Wigan,QPR,2.0,2.0,D,2012,4.0,8.0,9.0,14.0,19,10
2012-12-09,Everton,Tottenham,2.0,1.0,H,2012,6.0,8.0,11.0,17.0,3,16
2012-12-09,Man City,Man United,2.0,3.0,A,2012,3.0,8.0,11.0,16.0,6,7
2012-12-09,West Ham,Liverpool,2.0,3.0,A,2012,8.0,16.0,6.0,9.0,18,5
2012-12-10,Fulham,Newcastle,2.0,1.0,H,2012,13.0,20.0,7.0,16.0,4,8
2012-12-11,Sunderland,Reading,3.0,0.0,H,2012,5.0,12.0,11.0,16.0,14,11
2012-12-15,Liverpool,Aston Villa,1.0,3.0,A,2012,6.0,9.0,17.0,26.0,5,1
2012-12-15,Man United,Sunderland,3.0,1.0,H,2012,10.0,13.0,6.0,15.0,7,14
2012-12-15,Newcastle,Man City,1.0,3.0,A,2012,10.0,16.0,8.0,17.0,8,6
2012-12-15,Norwich,Wigan,2.0,1.0,H,2012,6.0,12.0,10.0,16.0,9,19
2012-12-15,QPR,Fulham,2.0,1.0,H,2012,3.0,6.0,9.0,19.0,10,4
2012-12-15,Stoke,Everton,1.0,1.0,D,2012,5.0,9.0,8.0,14.0,13,3
2012-12-16,Tottenham,Swansea,1.0,0.0,H,2012,0.0,4.0,16.0,24.0,16,15
2012-12-16,West Brom,West Ham,0.0,0.0,D,2012,2.0,10.0,10.0,19.0,17,18
2012-12-17,Reading,Arsenal,2.0,5.0,A,2012,17.0,25.0,5.0,7.0,11,0
2012-12-22,Liverpool,Fulham,4.0,0.0,H,2012,6.0,7.0,12.0,22.0,5,4
2012-12-22,Man City,Reading,1.0,0.0,H,2012,1.0,6.0,10.0,17.0,6,11
2012-12-22,Newcastle,QPR,1.0,0.0,H,2012,4.0,5.0,8.0,18.0,8,10
2012-12-22,Southampton,Sunderland,0.0,1.0,A,2012,6.0,10.0,7.0,13.0,12,14
2012-12-22,Tottenham,Stoke,0.0,0.0,D,2012,2.0,4.0,14.0,21.0,16,13
2012-12-22,West Brom,Norwich,2.0,1.0,H,2012,4.0,10.0,8.0,12.0,17,9
2012-12-22,West Ham,Everton,1.0,2.0,A,2012,8.0,15.0,5.0,6.0,18,3
2012-12-22,Wigan,Arsenal,0.0,1.0,A,2012,8.0,10.0,5.0,13.0,19,0
2012-12-23,Chelsea,Aston Villa,8.0,0.0,H,2012,4.0,7.0,18.0,24.0,2,1
2012-12-23,Swansea,Man United,1.0,1.0,D,2012,16.0,19.0,10.0,14.0,15,7
2012-12-26,Aston Villa,Tottenham,0.0,4.0,A,2012,16.0,20.0,1.0,4.0,1,16
2012-12-26,Everton,Wigan,2.0,1.0,H,2012,6.0,10.0,9.0,17.0,3,19
2012-12-26,Fulham,Southampton,1.0,1.0,D,2012,3.0,7.0,2.0,10.0,4,12
2012-12-26,Man United,Newcastle,4.0,3.0,H,2012,11.0,16.0,10.0,16.0,7,8
2012-12-26,Norwich,Chelsea,0.0,1.0,A,2012,11.0,20.0,4.0,8.0,9,2
2012-12-26,QPR,West Brom,1.0,2.0,A,2012,6.0,12.0,8.0,18.0,10,17
2012-12-26,Reading,Swansea,0.0,0.0,D,2012,4.0,10.0,2.0,3.0,11,15
2012-12-26,Stoke,Liverpool,3.0,1.0,H,2012,6.0,12.0,6.0,7.0,13,5
2012-12-26,Sunderland,Man City,1.0,0.0,H,2012,12.0,19.0,6.0,12.0,14,6
2012-12-29,Arsenal,Newcastle,7.0,3.0,H,2012,8.0,10.0,12.0,16.0,0,8
