Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,PFTR,PHT,PAT,PFTHG,PFTAG
2012-08-18,Arsenal,Sunderland,0.0,0.0,D,2012,H,2.924964438122333,1.0794502179014416,2,1
2012-08-18,Fulham,Norwich,5.0,0.0,H,2012,D,1.8918918918918919,1.0727455581629233,1,1
2012-08-18,Newcastle,Tottenham,2.0,1.0,H,2012,A,1.1948790896159316,2.563414906693485,1,2
2012-08-18,QPR,Swansea,0.0,5.0,A,2012,A,0.5778805120910384,1.1889596602972399,0,1
2012-08-18,Reading,Stoke,1.0,1.0,D,2012,D,0.940611664295875,0.9587663426081127,0,0
2012-08-18,West Brom,Liverpool,3.0,0.0,H,2012,A,1.5362731152204836,2.123142250530786,1,2
2012-08-18,West Ham,Aston Villa,1.0,0.0,H,2012,H,2.4786628733997156,1.1800201139792155,2,1
2012-08-19,Man City,Southampton,3.0,2.0,H,2012,H,2.624466571834993,0.771035869929601,2,0
2012-08-19,Wigan,Chelsea,0.0,2.0,A,2012,A,1.0633001422475108,2.9634596044250756,1,2
2012-08-20,Everton,Man United,1.0,0.0,H,2012,D,1.4082503556187767,1.557715945915745,1,1
2012-08-22,Chelsea,Reading,4.0,2.0,H,2012,H,2.9160739687055477,0.7151637054419486,2,0
2012-08-25,Aston Villa,Everton,1.0,3.0,A,2012,A,0.940611664295875,1.3766901329757513,0,1
2012-08-25,Chelsea,Newcastle,2.0,0.0,H,2012,H,2.697368421052632,0.7509218907140464,2,0
2012-08-25,Man United,Fulham,3.0,2.0,H,2012,H,2.4004267425320056,0.9341825902335457,2,0
2012-08-25,Norwich,QPR,1.0,1.0,D,2012,H,1.422475106685633,0.7598614370320707,1,0
2012-08-25,Southampton,Wigan,0.0,2.0,A,2012,D,1.5718349928876243,1.1263828360710695,1,1
2012-08-25,Swansea,West Ham,3.0,0.0,H,2012,H,1.5433854907539117,0.6391775617387417,1,0
2012-08-25,Tottenham,West Brom,1.0,1.0,D,2012,H,1.6500711237553345,0.8447871270533022,1,0
2012-08-26,Liverpool,Man City,2.0,2.0,D,2012,H,1.114864864864865,0.8939546318024361,1,0
2012-08-26,Stoke,Arsenal,0.0,0.0,D,2012,A,0.5227596017069702,1.2291876187283497,0,1
2012-09-01,Man City,QPR,3.0,1.0,H,2012,H,2.3328591749644385,0.569896077774053,2,0
2012-09-01,Swansea,Sunderland,2.0,2.0,D,2012,D,1.7425320056899003,1.2202480724103253,1,1
2012-09-01,Tottenham,Norwich,1.0,1.0,D,2012,H,1.9594594594594597,0.6436473348977538,1,0
2012-09-01,West Brom,Everton,2.0,0.0,H,2012,D,1.3086770981507825,1.2291876187283497,1,1
2012-09-01,West Ham,Fulham,3.0,0.0,H,2012,D,1.8136557610241824,1.0816851044809477,1,1
2012-09-01,Wigan,Stoke,2.0,2.0,D,2012,D,1.0633001422475108,1.1330874958095876,1,1
2012-09-02,Liverpool,Arsenal,0.0,2.0,A,2012,D,0.8214793741109531,0.8939546318024361,0,0
2012-09-02,Newcastle,Aston Villa,1.0,1.0,D,2012,D,1.7496443812233287,1.662755615152531,1,1
2012-09-02,Southampton,Man United,2.0,3.0,A,2012,A,1.1095305832147937,2.1991283942339925,1,2
2012-09-15,Arsenal,Southampton,6.0,1.0,H,2012,H,3.008534850640114,1.1822550005587218,3,1
2012-09-15,Aston Villa,Swansea,2.0,0.0,H,2012,D,1.0224039829302987,1.1889596602972399,1,1
2012-09-15,Fulham,West Brom,3.0,0.0,H,2012,D,1.5931721194879092,1.4079785450888371,1,1
2012-09-15,Man United,Wigan,4.0,0.0,H,2012,H,2.720483641536273,0.8917197452229301,2,0
2012-09-15,Norwich,West Ham,0.0,0.0,D,2012,H,1.378022759601707,0.4916750474913397,1,0
2012-09-15,QPR,Chelsea,0.0,0.0,D,2012,A,0.5316500711237554,2.1276120236897977,0,2
2012-09-15,Stoke,Man City,1.0,1.0,D,2012,A,0.7094594594594595,1.2291876187283497,0,1
2012-09-15,Sunderland,Liverpool,1.0,1.0,D,2012,A,0.9601706970128022,1.6135881104033971,0,1
2012-09-16,Reading,Tottenham,1.0,3.0,A,2012,A,1.1450924608819346,2.7287965135769365,1,2
2012-09-17,Everton,Newcastle,2.0,2.0,D,2012,H,2.1710526315789473,0.7978545088836744,2,0
2012-09-22,Chelsea,Stoke,1.0,0.0,H,2012,H,1.6767425320056903,0.46485640853726673,1,0
2012-09-22,Southampton,Aston Villa,4.0,1.0,H,2012,D,1.8954480796586064,1.2872946697955079,1,1
2012-09-22,Swansea,Everton,0.0,3.0,A,2012,D,1.1450924608819346,1.2783551234774835,1,1
2012-09-22,West Brom,Reading,1.0,0.0,H,2012,H,2.275960170697013,1.117443289753045,2,1
2012-09-22,West Ham,Sunderland,1.0,1.0,D,2012,H,2.115931721194879,1.0325175997318137,2,1
2012-09-22,Wigan,Fulham,1.0,2.0,A,2012,D,1.3869132290184922,1.9175326852162253,1,1
2012-09-23,Liverpool,Man United,1.0,2.0,A,2012,D,1.4082503556187767,1.466085596155995,1,1
2012-09-23,Man City,Arsenal,1.0,1.0,D,2012,H,1.0206258890469417,0.8380824673147841,1,0
2012-09-23,Newcastle,Norwich,1.0,0.0,H,2012,D,1.6216216216216215,1.1085037434350204,1,1
2012-09-23,Tottenham,QPR,2.0,1.0,H,2012,H,1.6500711237553345,0.6838752933288635,1,0
2012-09-29,Arsenal,Chelsea,1.0,2.0,A,2012,D,1.9221194879089618,1.7476813051737625,1,1
2012-09-29,Everton,Southampton,3.0,1.0,H,2012,H,2.112375533428165,0.8738406525868813,2,0
2012-09-29,Fulham,Man City,1.0,2.0,A,2012,A,0.9459459459459459,1.6761649346295682,0,1
2012-09-29,Man United,Tottenham,2.0,3.0,A,2012,H,2.240398293029872,1.5711252653927814,2,1
2012-09-29,Norwich,Liverpool,2.0,5.0,A,2012,D,1.2002133712660028,1.6985138004246283,1,1
2012-09-29,Reading,Newcastle,2.0,2.0,D,2012,D,1.5131578947368423,1.5487763995977206,1,1
2012-09-29,Stoke,Swansea,2.0,0.0,H,2012,D,0.9334992887624468,0.9341825902335457,0,0
2012-09-29,Sunderland,Wigan,1.0,0.0,H,2012,H,1.209103840682788,0.8917197452229301,1,0
2012-09-30,Aston Villa,West Brom,1.0,1.0,D,2012,D,1.3086770981507825,1.314113308749581,1,1
2012-10-01,QPR,West Ham,1.0,2.0,A,2012,D,0.7165718349928877,0.6883450664878756,0,0
2012-10-06,Chelsea,Norwich,4.0,1.0,H,2012,H,2.7702702702702706,0.5721309643535589,2,0
2012-10-06,Man City,Sunderland,3.0,0.0,H,2012,H,2.5515647226173543,0.7039892725444186,2,0
2012-10-06,Swansea,Reading,2.0,2.0,D,2012,D,1.9914651493598863,1.1621410213431667,1,1
2012-10-06,West Brom,QPR,3.0,2.0,H,2012,H,1.8207681365576103,0.9498267962900886,1,0
2012-10-06,West Ham,Arsenal,1.0,3.0,A,2012,A,0.8463726884779516,1.2291876187283497,0,1
2012-10-06,Wigan,Everton,2.0,2.0,D,2012,D,1.0633001422475108,1.9175326852162253,1,1
2012-10-07,Liverpool,Stoke,0.0,0.0,D,2012,H,1.3495732574679946,0.46485640853726673,1,0
2012-10-07,Newcastle,Man United,0.0,3.0,A,2012,A,1.0241820768136556,2.8405408425522403,1,2
2012-10-07,Southampton,Fulham,2.0,2.0,D,2012,D,1.3869132290184922,1.1800201139792155,1,1
2012-10-07,Tottenham,Aston Villa,2.0,0.0,H,2012,H,2.1141536273115222,0.9654710023466307,2,0
2012-10-20,Fulham,Aston Villa,1.0,0.0,H,2012,H,2.0412517780938835,1.609118337244385,2,1
2012-10-20,Liverpool,Reading,1.0,0.0,H,2012,H,2.3470839260312943,0.7151637054419486,2,0
2012-10-20,Man United,Stoke,4.0,2.0,H,2012,H,1.8403271692745378,0.5520169851380042,1,0
2012-10-20,Norwich,Arsenal,1.0,0.0,H,2012,A,0.6223328591749645,1.117443289753045,0,1
2012-10-20,Swansea,Wigan,2.0,1.0,H,2012,D,1.692745376955903,1.2202480724103253,1,1
2012-10-20,Tottenham,Chelsea,2.0,4.0,A,2012,D,1.1859886201991465,1.367750586657727,1,1
2012-10-20,West Brom,Man City,1.0,2.0,A,2012,D,1.0810810810810811,1.3968041121913068,1,1
2012-10-20,West Ham,Southampton,4.0,1.0,H,2012,H,2.1763869132290186,1.1308526092300817,2,1
2012-10-21,QPR,Everton,1.0,1.0,D,2012,A,0.5316500711237554,1.3766901329757513,0,1
2012-10-21,Sunderland,Newcastle,1.0,1.0,D,2012,H,1.3157894736842104,0.8917197452229301,1,0
2012-10-27,Arsenal,QPR,1.0,0.0,H,2012,H,2.67425320056899,0.8738406525868813,2,0
2012-10-27,Aston Villa,Norwich,1.0,1.0,D,2012,D,1.5540540540540542,1.0012291876187283,1,1
2012-10-27,Man City,Swansea,1.0,0.0,H,2012,H,1.8225462304409676,0.6369426751592357,1,0
2012-10-27,Reading,Fulham,3.0,3.0,D,2012,D,1.2268847795163587,1.6225276567214215,1,1
2012-10-27,Stoke,Sunderland,0.0,0.0,D,2012,D,1.3068990042674256,1.0325175997318137,1,1
2012-10-27,Wigan,West Ham,2.0,1.0,H,2012,H,1.4331436699857754,0.9587663426081127,1,0
2012-10-28,Chelsea,Man United,2.0,3.0,A,2012,D,1.7496443812233287,1.466085596155995,1,1
2012-10-28,Everton,Liverpool,2.0,2.0,D,2012,D,1.5842816500711239,1.4437367303609343,1,1
2012-10-28,Newcastle,West Brom,2.0,1.0,H,2012,D,1.3655761024182076,1.4549111632584648,1,1
2012-10-28,Southampton,Tottenham,1.0,2.0,A,2012,D,1.294452347083926,1.984579282601408,1,1
2012-11-03,Fulham,Everton,2.0,2.0,D,2012,D,1.1450924608819346,1.4750251424740195,1,1
2012-11-03,Man United,Arsenal,2.0,1.0,H,2012,D,1.120199146514936,1.061571125265393,1,1
2012-11-03,Norwich,Stoke,1.0,0.0,H,2012,H,1.0224039829302987,0.5810705106715833,1,0
2012-11-03,Sunderland,Aston Villa,0.0,1.0,A,2012,D,1.4580369843527738,1.019108280254777,1,1
2012-11-03,Swansea,Chelsea,1.0,1.0,D,2012,D,1.1450924608819346,1.9756397362833837,1,1
2012-11-03,Tottenham,Wigan,0.0,1.0,A,2012,H,1.7532005689900427,0.8447871270533022,1,0
2012-11-03,West Ham,Man City,0.0,0.0,D,2012,D,1.1486486486486487,1.2291876187283497,1,1
2012-11-04,Liverpool,Newcastle,1.0,1.0,D,2012,H,2.1710526315789473,0.7509218907140464,2,0
2012-11-04,QPR,Reading,1.0,1.0,D,2012,A,0.9246088193456614,1.2515364845234103,0,1
2012-11-05,West Brom,Southampton,2.0,0.0,H,2012,H,2.0483641536273116,1.285059783216002,2,1
2012-11-10,Arsenal,Fulham,3.0,3.0,D,2012,H,2.5071123755334286,1.1308526092300817,2,1
2012-11-10,Aston Villa,Man United,2.0,3.0,A,2012,A,0.9815078236130867,2.5656497932729914,0,2
2012-11-10,Everton,Sunderland,2.0,1.0,H,2012,H,2.053698435277383,0.7978545088836744,2,0
2012-11-10,Reading,Norwich,0.0,0.0,D,2012,D,1.5540540540540542,1.1800201139792155,1,1
2012-11-10,Southampton,Swansea,1.0,1.0,D,2012,D,1.1557610241820768,1.019108280254777,1,1
2012-11-10,Stoke,QPR,1.0,0.0,H,2012,H,1.1948790896159318,0.8358475807352778,1,0
2012-11-10,Wigan,West Brom,1.0,2.0,A,2012,D,1.4793741109530585,1.8303721086154883,1,1
2012-11-11,Chelsea,Liverpool,1.0,1.0,D,2012,D,1.968349928876245,1.3588110403397027,1,1
2012-11-11,Man City,Tottenham,2.0,1.0,H,2012,H,2.0412517780938835,1.2403620516258802,2,1
2012-11-11,Newcastle,West Ham,0.0,1.0,A,2012,H,1.3229018492176388,0.7620963236115768,1,0
2012-11-17,Arsenal,Tottenham,5.0,2.0,H,2012,H,2.339971550497866,1.9018884791596828,2,1
2012-11-17,Liverpool,Wigan,3.0,0.0,H,2012,H,1.9950213371266003,0.7509218907140464,1,0
2012-11-17,Man City,Aston Villa,5.0,0.0,H,2012,H,2.9889758179231873,0.8045591686221925,2,0
2012-11-17,Newcastle,Swansea,1.0,2.0,A,2012,D,1.0668563300142246,1.316348195329087,1,1
2012-11-17,Norwich,Man United,1.0,0.0,H,2012,D,1.0668563300142246,1.8326069951949937,1,1
2012-11-17,QPR,Southampton,1.0,3.0,A,2012,A,0.8321479374110953,1.439266957201922,0,1
2012-11-17,Reading,Everton,2.0,1.0,H,2012,A,0.940611664295875,1.6225276567214215,0,1
2012-11-17,West Brom,Chelsea,2.0,1.0,H,2012,D,1.3086770981507825,1.8996535925801772,1,1
2012-11-18,Fulham,Sunderland,1.0,3.0,A,2012,D,1.7425320056899003,1.4079785450888371,1,1
2012-11-19,West Ham,Stoke,1.0,1.0,D,2012,H,1.3904694167852063,0.6391775617387417,1,0
2012-11-24,Aston Villa,Arsenal,0.0,0.0,D,2012,A,0.5725462304409673,1.564420605654263,0,1
2012-11-24,Everton,Norwich,1.0,1.0,D,2012,H,2.22972972972973,0.6078891496256565,2,0
2012-11-24,Man United,QPR,3.0,1.0,H,2012,H,2.5604551920341394,0.7218683651804672,2,0
2012-11-24,Stoke,Fulham,1.0,0.0,H,2012,D,1.1201991465149361,1.0816851044809477,1,1
2012-11-24,Sunderland,West Brom,2.0,4.0,A,2012,H,1.1379800853485065,0.8917197452229301,1,0
2012-11-24,Wigan,Reading,3.0,2.0,H,2012,D,1.8492176386913228,1.7432115320147503,1,1
2012-11-25,Chelsea,Man City,0.0,0.0,D,2012,H,1.3851351351351353,0.8939546318024361,1,0
2012-11-25,Southampton,Newcastle,2.0,0.0,H,2012,D,1.7105263157894737,1.1263828360710695,1,1
2012-11-25,Swansea,Liverpool,0.0,0.0,D,2012,A,1.3442389758179232,2.208067940552017,1,2
2012-11-25,Tottenham,West Ham,3.0,1.0,H,2012,H,1.5985064011379801,0.4425075427422058,1,0
2012-11-27,Aston Villa,Reading,1.0,0.0,H,2012,D,1.6358463726884782,1.2515364845234103,1,1
2012-11-27,Sunderland,QPR,0.0,0.0,D,2012,H,1.1379800853485065,0.7218683651804672,1,0
2012-11-28,Chelsea,Fulham,0.0,0.0,D,2012,H,2.187055476529161,0.7866800759861438,2,0
2012-11-28,Everton,Arsenal,1.0,1.0,D,2012,D,0.8214793741109531,0.9498267962900886,0,0
2012-11-28,Man United,West Ham,1.0,0.0,H,2012,H,2.4804409672830725,0.46709129511677283,2,0
2012-11-28,Southampton,Norwich,1.0,1.0,D,2012,H,1.7567567567567566,0.8581964465303386,1,0
2012-11-28,Stoke,Newcastle,2.0,1.0,H,2012,D,1.3815789473684212,1.0325175997318137,1,1
2012-11-28,Swansea,West Brom,3.0,1.0,H,2012,D,1.5931721194879092,1.2202480724103253,1,1
2012-11-28,Tottenham,Liverpool,2.0,1.0,H,2012,D,1.3922475106685634,1.5286624203821655,1,1
2012-11-28,Wigan,Man City,0.0,2.0,A,2012,A,0.8783783783783783,2.1790144150184383,0,2
2012-12-01,Arsenal,Swansea,0.0,2.0,A,2012,H,2.0892603129445235,0.9766454352441614,2,0
2012-12-01,Fulham,Tottenham,0.0,3.0,A,2012,A,1.3940256045519204,2.4807241032517604,1,2
2012-12-01,Liverpool,Southampton,1.0,0.0,H,2012,H,2.112375533428165,0.822438261258241,2,0
2012-12-01,Man City,Everton,1.0,1.0,D,2012,H,1.6767425320056903,0.7375125712370098,1,0
2012-12-01,QPR,Aston Villa,1.0,1.0,D,2012,A,0.9477240398293032,1.5018437814280925,0,1
2012-12-01,Reading,Man United,3.0,4.0,A,2012,A,0.9815078236130867,3.02380154207174,0,3
2012-12-01,West Brom,Stoke,0.0,1.0,A,2012,H,1.3086770981507825,0.7263381383394794,1,0
2012-12-01,West Ham,Chelsea,3.0,1.0,H,2012,D,1.3904694167852063,1.6716951614705555,1,1
2012-12-02,Norwich,Sunderland,2.0,1.0,H,2012,H,1.555832147937411,0.9386523633925578,1,0
2012-12-03,Newcastle,Wigan,3.0,0.0,H,2012,D,1.4509246088193455,1.4549111632584648,1,1
2012-12-08,Arsenal,West Brom,2.0,0.0,H,2012,H,2.67425320056899,1.0794502179014416,2,1
2012-12-08,Aston Villa,Stoke,0.0,0.0,D,2012,D,0.940611664295875,0.8134987149402166,0,0
2012-12-08,Southampton,Reading,1.0,0.0,H,2012,D,1.8492176386913228,1.072745558162923,1,1
2012-12-08,Sunderland,Chelsea,1.0,3.0,A,2012,A,0.8179231863442391,1.4437367303609343,0,1
2012-12-08,Swansea,Norwich,3.0,4.0,A,2012,H,1.8918918918918919,0.9297128170745335,1,0
2012-12-08,Wigan,QPR,2.0,2.0,D,2012,D,1.4793741109530585,1.4817298022125378,1,1
2012-12-09,Everton,Tottenham,2.0,1.0,H,2012,D,1.6429587482219061,1.4057436585093308,1,1
2012-12-09,Man City,Man United,2.0,3.0,A,2012,D,1.7496443812233287,1.3744552463962456,1,1
2012-12-09,West Ham,Liverpool,2.0,3.0,A,2012,D,1.632290184921764,1.8683651804670913,1,1
2012-12-10,Fulham,Newcastle,2.0,1.0,H,2012,D,1.8421052631578947,1.4079785450888371,1,1
2012-12-11,Sunderland,Reading,3.0,0.0,H,2012,H,1.422475106685633,0.8492569002123141,1,0
2012-12-15,Liverpool,Aston Villa,1.0,3.0,A,2012,H,2.4057610241820773,0.8581964465303386,2,0
2012-12-15,Man United,Sunderland,3.0,1.0,H,2012,H,2.8004978662873397,0.8917197452229301,2,0
2012-12-15,Newcastle,Man City,1.0,3.0,A,2012,A,0.8108108108108107,1.73203709911722,0,1
2012-12-15,Norwich,Wigan,2.0,1.0,H,2012,H,1.5113798008534851,0.9386523633925578,1,0
2012-12-15,QPR,Fulham,2.0,1.0,H,2012,A,0.6934566145092461,1.3766901329757513,0,1
2012-12-15,Stoke,Everton,1.0,1.0,D,2012,A,0.858819345661451,1.0816851044809477,0,1
2012-12-16,Tottenham,Swansea,1.0,0.0,H,2012,H,1.289118065433855,0.7643312101910827,1,0
2012-12-16,West Brom,West Ham,0.0,0.0,D,2012,H,1.763869132290185,0.6145938093641748,1,0
2012-12-17,Reading,Arsenal,2.0,5.0,A,2012,A,0.5725462304409673,1.8437814280925247,0,1
2012-12-22,Liverpool,Fulham,4.0,0.0,H,2012,H,1.760312944523471,0.7866800759861438,1,0
2012-12-22,Man City,Reading,1.0,0.0,H,2012,H,2.9160739687055477,0.670465973851827,2,0
2012-12-22,Newcastle,QPR,1.0,0.0,H,2012,D,1.3655761024182076,1.1777852273997094,1,1
2012-12-22,Southampton,Sunderland,0.0,1.0,A,2012,D,1.6180654338549076,1.1263828360710695,1,1
2012-12-22,Tottenham,Stoke,0.0,0.0,D,2012,H,1.1859886201991465,0.522963459604425,1,0
2012-12-22,West Brom,Norwich,2.0,1.0,H,2012,H,2.1621621621621623,0.8939546318024361,2,0
2012-12-22,West Ham,Everton,1.0,2.0,A,2012,D,1.3904694167852063,1.0816851044809477,1,1
2012-12-22,Wigan,Arsenal,0.0,1.0,A,2012,A,0.647226173541963,2.1790144150184383,0,2
2012-12-23,Chelsea,Aston Villa,8.0,0.0,H,2012,H,2.9889758179231873,0.8581964465303386,2,0
2012-12-23,Swansea,Man United,1.0,1.0,D,2012,A,1.1948790896159316,2.382389093753492,1,2
2012-12-26,Aston Villa,Tottenham,0.0,4.0,A,2012,A,1.1450924608819346,2.3153424963683094,1,2
2012-12-26,Everton,Wigan,2.0,1.0,H,2012,H,1.9950213371266003,0.7978545088836744,1,0
2012-12-26,Fulham,Southampton,1.0,1.0,D,2012,D,1.7923186344238977,1.542071739859202,1,1
2012-12-26,Man United,Newcastle,4.0,3.0,H,2012,H,2.9605263157894735,0.8917197452229301,2,0
2012-12-26,Norwich,Chelsea,0.0,1.0,A,2012,D,1.0224039829302987,1.5197228740641413,1,1
2012-12-26,QPR,West Brom,1.0,2.0,A,2012,A,0.7396870554765292,1.314113308749581,0,1
2012-12-26,Reading,Swansea,0.0,0.0,D,2012,D,1.0224039829302987,1.4012738853503186,1,1
2012-12-26,Stoke,Liverpool,3.0,1.0,H,2012,D,1.0081792318634426,1.8683651804670913,1,1
2012-12-26,Sunderland,Man City,1.0,0.0,H,2012,A,0.6756756756756757,1.061571125265393,0,1
2012-12-29,Arsenal,Newcastle,7.0,3.0,H,2012,H,3.0921052631578947,1.0794502179014416,3,1
